symbol,time,brokerTime,timeframe,open,close,high,low,tickVolume,spread,endTime,endBrokerTime,state
XAUUSDc,2026-04-13T10:00:00.000Z,2026-04-13 10:00:00.000,30m,4714.835,4712.31,4718.928,4708.068,4137,280,2026-04-13T10:29:59.999Z,2026-04-13 10:29:59.999,complete
XAUUSDc,2026-04-13T10:30:00.000Z,2026-04-13 10:30:00.000,30m,4712.619,4721.993,4723.934,4711.589,3988,280,2026-04-13T10:59:59.999Z,2026-04-13 10:59:59.999,complete
XAUUSDc,2026-04-13T11:00:00.000Z,2026-04-13 11:00:00.000,30m,4721.927,4721.205,4729.12,4718.497,5090,280,2026-04-13T11:29:59.999Z,2026-04-13 11:29:59.999,complete
XAUUSDc,2026-04-13T11:30:00.000Z,2026-04-13 11:30:00.000,30m,4720.892,4706.841,4722.451,4703.353,7583,280,2026-04-13T11:59:59.999Z,2026-04-13 11:59:59.999,complete
XAUUSDc,2026-04-13T12:00:00.000Z,2026-04-13 12:00:00.000,30m,4706.698,4710.451,4720.221,4703.583,7948,280,2026-04-13T12:29:59.999Z,2026-04-13 12:29:59.999,complete
XAUUSDc,2026-04-13T12:30:00.000Z,2026-04-13 12:30:00.000,30m,4710.392,4723.347,4725.171,4708.982,6931,280,2026-04-13T12:59:59.999Z,2026-04-13 12:59:59.999,complete
XAUUSDc,2026-04-13T13:00:00.000Z,2026-04-13 13:00:00.000,30m,4723.568,4733.064,4737.577,4722.772,9535,280,2026-04-13T13:29:59.999Z,2026-04-13 13:29:59.999,complete
XAUUSDc,2026-04-13T13:30:00.000Z,2026-04-13 13:30:00.000,30m,4733.124,4730.65,4744.785,4721.125,19820,280,2026-04-13T13:59:59.999Z,2026-04-13 13:59:59.999,complete
XAUUSDc,2026-04-13T14:00:00.000Z,2026-04-13 14:00:00.000,30m,4730.433,4715.534,4731.419,4709.42,14698,280,2026-04-13T14:29:59.999Z,2026-04-13 14:29:59.999,complete
XAUUSDc,2026-04-13T14:30:00.000Z,2026-04-13 14:30:00.000,30m,4715.171,4719.179,4723.445,4708.587,9571,280,2026-04-13T14:59:59.999Z,2026-04-13 14:59:59.999,complete
XAUUSDc,2026-04-13T15:00:00.000Z,2026-04-13 15:00:00.000,30m,4718.903,4703.875,4719.715,4700.186,11487,280,2026-04-13T15:29:59.999Z,2026-04-13 15:29:59.999,complete
XAUUSDc,2026-04-13T15:30:00.000Z,2026-04-13 15:30:00.000,30m,4703.638,4714.412,4718.151,4702.069,7057,280,2026-04-13T15:59:59.999Z,2026-04-13 15:59:59.999,complete
XAUUSDc,2026-04-13T16:00:00.000Z,2026-04-13 16:00:00.000,30m,4714.288,4730.45,4734.175,4709.405,10590,280,2026-04-13T16:29:59.999Z,2026-04-13 16:29:59.999,complete
XAUUSDc,2026-04-13T16:30:00.000Z,2026-04-13 16:30:00.000,30m,4730.07,4733.091,4746.286,4728.68,13755,280,2026-04-13T16:59:59.999Z,2026-04-13 16:59:59.999,complete
XAUUSDc,2026-04-13T17:00:00.000Z,2026-04-13 17:00:00.000,30m,4733.117,4742.949,4749.934,4725.632,7921,280,2026-04-13T17:29:59.999Z,2026-04-13 17:29:59.999,complete
XAUUSDc,2026-04-13T17:30:00.000Z,2026-04-13 17:30:00.000,30m,4742.889,4730.032,4747.555,4727.138,5659,280,2026-04-13T17:59:59.999Z,2026-04-13 17:59:59.999,complete
